SAM,MeanColonization,MinimumColonization,MaximumColonization,RangeofColonization,LSMeans,ArithmeticMean,LSmeanXY,LSmeanJustX
253,24,13,33,20,25.42015,24,24.65159,24.59281
254,15.75,2,47,45,15.78112,15.75,16.05516,16.06738
255,18.75,0,47,47,20.41635,18.75,19.9057,19.68708
256,29.5,0,59,59,29.95444,29.5,30.21799,29.95509
257,47,5,80,75,47.15563,47,47.53594,47.38624
258,24.75,8,54,46,26.47751,24.75,24.9185,24.92967
259,27.33333333,12,40,28,24.96114,27.3333,26.76308,26.68673
260,51,18,78,60,49.34842,51,51.64218,51.45509
261,35.33333333,13,52,39,33.71306,35.3333,35.81753,35.88024
262,42.25,21,64,43,41.10998,42.25,42.22833,42.36081
263,24.33333333,0,60,60,26.53805,24.3333,24.4359,24.60481
264,32,16,55,39,30.71805,32,32.11164,32.17967
265,51.5,30,73,43,51.51244,51.5,49.47905,49.75171
266,29,29,29,0,26.02731,29,28.80624,28.07798
267,43.5,0,84,84,43.51396,43.5,44.03787,44.09281
268,13.5,0,31,31,12.78143,13.5,13.58869,13.54196
269,66,60,75,15,67.01363,66,66.54984,67.00594
270,13.75,5,19,14,13.89533,13.75,13.93617,13.79196
271,23,20,26,6,20.13862,23,21.73019,21.66484
272,42.5,3,67,64,42.18491,42.5,42.70434,42.74853
273,35,7,91,84,34.78327,35,35.02371,35.04196
274,34,0,60,60,33.67187,34,33.04463,33.28454
275,24.30555556,10,41,31,24.83225,24.3056,24.71154,24.69179
276,19.75,10,30,20,20.01791,19.75,19.80143,19.86081
277,37.66666667,8,80,72,36.10891,37.6667,37.46152,37.84634
278,28.25,2,84,82,28.39019,28.25,27.80352,27.80997
279,20.58333333,2,33.33333333,31.33333333,21.46534,20.5833,19.84728,19.86788
280,45,31,59,28,45.14532,45,43.1941,43.66484
281,66.5,58,74,16,65.23126,66.5,65.81955,66.03702
282,25.25,0,40,40,25.70538,25.25,25.60197,25.36081
283,53,42,64,22,52.90778,53,51.16445,51.38942
284,16,0,26,26,15.92751,16,16.4536,16.36329
285,14,7,21,14,11.41372,14,11.33108,11.28773
286,28.25,12,52,40,27.01377,28.25,28.36306,28.29196
287,43.75,0,67,67,46.89626,43.75,43.74265,43.65425
288,33.33333333,25,38,13,30.90816,33.3333,32.84593,33.05397
289,27.75,0,53,53,27.78506,27.75,28.24868,28.20509
851,24.66666667,0,73,73,25.80392,24.6667,24.51054,24.29549
