SAM,AREA_Dry,AREA_logdiff,AREA_Wet,Oilpct_Dry,Oilpct_logdiff,Oilpct_Wet,StemDiametermm_Wet,StemHeightmm_Wet,RootingDepthmm_Wet,RootBiomassmg_Wet,TRLmm_Wet,SRLmmg_Wet,RootBiomassAllocation_Wet,TRLAllocation_Wet,StemDiametermm_Dry,StemHeightmm_Dry,RootingDepthmm_Dry,RootBiomassmg_Dry,TRLmm_Dry,SRLmmg_Dry,RootBiomassAllocation_Dry,TRLAllocation_Dry,StemDiametermm_logdiff,StemHeightmm_logdiff,RootingDepthmm_logdiff,RootBiomassmg_logdiff,TRLmm_logdiff,SRLmmg_logdiff,RootBiomassAllocation_logdiff,TRLAllocation_logdiff
SAM199,6861.67,-0.393001562,10165.02,35.05783276,-0.036726087,36.369305,2.242,27.679,98.676,6.6,1247.207,12.999,0.801,0.311,2.55,23.239,95.727,7.267,1176.176,13.006,0.731,0.431,-0.128725035,0.174842101,0.030341365,-0.096273903,0.058638153,-0.000538358,0.091447487,-0.326315178
SAM200,6852.695,-0.779206046,14937.1,34.49582413,0.062369811,32.41004696,2.182,57.728,109.65,5.267,1317.081,12.498,0.601,0.266,2.032,43.48,99.135,4.7,1008.974,13.246,0.679,0.345,0.071221358,0.283441262,0.100810917,0.113898432,0.266483951,-0.058126989,-0.122026193,-0.260048108
SAM201,13251.3,0.209142931,10750.505,18.14714384,-0.153585266,21.15970045,2.715,46.882,108.342,11.833,1708.19,12.873,0.675,0.389,2.57,39.663,110.904,13.15,1928.493,12.737,0.627,0.367,0.054886054,0.167215043,-0.023372072,-0.10552952,-0.121304538,0.010620951,0.07376615,0.058217496
SAM203,NA,NA,NA,25.75857015,0.012835487,25.43005918,1.842,33.154,109.98,5.267,869.774,13.126,0.724,0.375,1.607,25.322,116.094,3,591.467,13.399,0.647,0.402,0.136482851,0.26948979,-0.054101677,0.562848652,0.385627516,-0.020585081,0.112445098,-0.069526063
SAM204,7038.49,-0.231083824,8868.25,28.09609858,0.04335899,26.90391286,1.596,47.915,70.65,4.433,629.241,12.666,0.678,0.503,1.805,22.927,95.745,6.9,569.196,12.465,0.84,0.544,-0.123060093,0.737113352,-0.303950298,-0.442444856,0.100289492,0.015996521,-0.214254604,-0.078359077
SAM205,10190.075,0.416475618,6718.995,33.99433621,-0.028108106,34.9634082,2.686,34.632,113.922,7,1692.723,12.877,0.589,0.349,2.659,51.621,127.083,11.4,2589.555,12.832,0.416,0.147,0.010102986,-0.399150456,-0.109326413,-0.487703206,-0.425147571,0.003500723,0.347740923,0.864639335
SAM206,6847.54,-0.151640061,7968.765,36.62325338,0.066708885,34.25986292,2.483,46.235,98.916,6.1,1570.849,13.574,0.664,0.436,2.724,40.455,129.634,7.15,1864.305,13.335,0.633,0.302,-0.092633882,0.133546842,-0.27044409,-0.158823586,-0.171272092,0.017764041,0.047811727,0.367215226
SAM207,5742.62,NA,NA,32.19466609,0.105312343,28.97659533,2.019,44.379,94.679,7.6,976.429,13.748,0.775,0.389,1.666,37.837,78.768,4.633,587.117,13.752,0.905,0.479,0.192176796,0.159478925,0.1839854,0.494943641,0.50867792,-0.000290909,-0.155071914,-0.208121254
SAM208,3165.18,NA,NA,32.80719059,-0.042452089,34.2299094,2.539,31.626,97.342,8.1,879.018,13.593,0.853,0.4,2,24.612,92.094,4.433,803.451,13.954,0.89,0.518,0.238623122,0.250745438,0.055420756,0.602787506,0.089889175,-0.026211251,-0.042461915,-0.258510695
SAM209,3245.125,-0.953888169,8423.64,33.87303616,0.046785253,32.32477781,2.676,61.023,124.918,11.75,2386.771,12.802,0.538,0.204,2.246,39.346,100.135,6.633,1524.245,13.339,0.733,0.375,0.175172286,0.438856524,0.221138246,0.57179605,0.448442201,-0.041090666,-0.309287142,-0.608806032
SAM210,6369.435,-0.69132039,12715.62,35.61195997,0.039129194,34.24540316,2.792,27.728,90.875,8.6,1287.846,12.461,0.71,0.425,2.497,18.166,96.061,8.933,913.01,12.742,0.784,0.417,0.111668174,0.422891018,-0.05549847,-0.037990081,0.343979501,-0.022299857,-0.09914405,0.019002947
SAM211,9274.16,-0.197150245,11295.25,29.49177435,0.419493502,19.38729368,2.901,25.288,87.918,5.3,752.568,13.056,0.841,0.432,2.255,27.683,94.404,5.05,884.744,13.202,0.737,0.443,0.251905532,-0.090488531,-0.071178883,0.048318577,-0.16180698,-0.011120535,0.132003768,-0.025144182
SAM212,6221.21,-0.559526917,10886.15,29.39720541,-0.042788865,30.68237792,2.632,32.361,85.647,7.233,1053.911,12.933,0.795,0.522,2.625,26.122,125.745,9.2,2002.145,13.178,0.621,0.226,0.002663117,0.214176123,-0.384021849,-0.240549596,-0.6417111,-0.018766588,0.247011033,0.837132589
SAM213,3145.95,-0.569289732,5558.93,35.25953229,0.03053215,34.19925164,1.992,25.333,133.422,5.8,1932.703,12.926,0.367,0.168,2.017,17.436,156.394,4.667,1404.285,13.576,0.672,0.288,-0.0124721,0.373570859,-0.158861427,0.217341451,0.319391265,-0.049062741,-0.604896492,-0.538996501
SAM214,4774.32,0.223261638,3819.005,36.52929979,0.011361913,36.11660599,1.745,26.659,52.676,4.467,532.093,12.502,0.737,0.573,2.145,32.258,116.404,3.3,977.486,13.607,0.622,0.279,-0.206384997,-0.19063927,-0.792906955,0.302794574,-0.608165683,-0.084695735,0.169647799,0.719673935
SAM215,6365.615,-0.279887797,8421.59,32.69977488,0.041617775,31.36681284,2.365,28.344,105.647,5.4,1042.944,12.692,0.685,0.456,2.133,19.118,103.761,5.467,937.427,13.106,0.701,0.338,0.103248582,0.393785068,0.01801317,-0.012331066,0.106663874,-0.032098267,-0.023089049,0.299446914
SAM216,4578.845,-0.694351453,9168.725,32.22851763,0.028143632,31.33413471,2.059,51.422,84.679,6.6,1176.803,13.164,0.728,0.499,2.225,23.868,77.904,5.85,714.063,12.63,0.734,0.493,-0.077536488,0.767527447,0.083390338,0.120627988,0.499585525,0.041410895,-0.00820798,0.012096922
SAM217,8115.475,NA,NA,29.12397187,0.037533317,28.05111252,2.149,38.156,80.345,6.767,1043.584,12.307,0.617,0.349,1.707,17.669,104.727,2.933,586.072,13.638,0.836,0.356,0.230265174,0.769871328,-0.265027102,0.836032067,0.576973573,-0.102691808,-0.303759589,-0.019858809
SAM218,6352.8,-0.007584344,6401.165,29.75023398,0.053638717,28.19651192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAM219,15208.1,0.051213354,14448.85,25.71555965,-0.038669304,26.72943912,3.099,83.679,118.698,16.6,2992.76,13.056,0.517,0.261,2.133,36.016,128.061,6.7,2041.014,13.578,0.586,0.237,0.373550039,0.843024766,-0.075924261,0.907295169,0.382749295,-0.039203038,-0.125276915,0.096460266
SAM221,8715.71,0.020859232,8535.79,19.92552675,-0.16338286,23.46205701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAM222,3830.465,-0.632241385,7208.26,32.50175436,-0.074745,35.02419359,2.422,59.615,110.65,8.033,2181.697,12.55,0.473,0.282,1.989,29.77,124.802,5.233,1503.098,13.298,0.616,0.271,0.196961645,0.694406045,-0.120356415,0.42857333,0.372574703,-0.057892982,-0.264151575,0.03978825
SAM223,11033.615,-0.089251935,12063.67,29.72160569,0.069026234,27.73923983,2.532,37.244,90.98,8.533,1401.672,13.141,0.741,0.407,2.179,21.547,102.102,6.967,1484.384,13.19,0.716,0.359,0.150143448,0.547254262,-0.115332611,0.202756284,-0.057334062,-0.003721853,0.034320458,0.125490797
SAM225,9139.81,NA,NA,32.61501098,-0.040410161,33.95998102,2.483,45.262,124.012,9.933,2210.223,13.134,0.558,0.306,2.192,29.563,139.469,9.567,2412.919,13.163,0.537,0.275,0.124653137,0.425944249,-0.117464019,0.037542871,-0.087743802,-0.002205576,0.038360868,0.106814004
SAM226,14609,-0.063695363,15569.8,23.45641478,-0.100900786,25.94670937,2.179,41.819,85.676,9.567,1435.136,13.118,0.649,0.351,2.136,50.536,119.469,10.1,2380.787,13.175,0.548,0.149,0.019931135,-0.189335172,-0.332484184,-0.054215747,-0.506171487,-0.004335762,0.16915743,0.856839918
SAM227,NA,NA,7495.725,19.63382768,-0.078478281,21.23673068,2.492,49.288,113.314,10.5,1813.89,13.138,0.72,0.409,2.179,40.097,117.768,5.467,1316.624,14.27,0.855,0.476,0.134219545,0.206379125,-0.038553861,0.652645237,0.320402826,-0.082650637,-0.171850257,-0.151702698
SAM228,9567.1,-0.433841336,14763.7,31.79008048,-0.012433316,32.18780398,2.791,42.073,94.918,8.75,1646.662,12.846,0.642,0.321,2.002,34.814,123.768,4.9,907.489,13.403,0.754,0.228,0.332253274,0.1893866,-0.265395484,0.579818495,0.595824043,-0.042446084,-0.160804064,0.342095494
SAM230,7535.47,-0.249363152,9669.575,26.43607385,-0.062068957,28.12892676,2.095,43.002,91.342,4.5,1004.746,13.667,0.793,0.387,1.9,36.432,123.428,7.033,1255.273,13.143,0.699,0.297,0.097699667,0.165799117,-0.301047286,-0.446535961,-0.222618306,0.03909487,0.126172479,0.264692554
SAM231,5388.755,-0.340467027,7574.455,32.95583707,-0.010655687,33.30888177,2.805,41.984,106.873,8.1,1955.348,13.682,0.736,0.352,2.729,27.691,119.583,7.15,2114.024,13.076,0.552,0.252,0.027468297,0.416181143,-0.112369477,0.124751705,-0.078025058,0.045302611,0.287682072,0.334202088
SAM232,4430.535,-0.30162115,5990.3,32.79288793,-0.010490624,33.1387166,2.349,31.099,120.679,6.2,1209.933,13.219,0.744,0.409,1.969,23.093,131.802,11.2,1348.093,13.099,0.792,0.263,0.176463906,0.297646123,-0.088166669,-0.591364486,-0.108126015,0.009119297,-0.062520357,0.441561124
SAM233,9042.475,NA,NA,33.43994494,0.008206366,33.16664746,2.493,26.675,83.916,4.85,839.472,12.224,0.852,0.424,2.446,15.588,132.353,6.9,1112.884,13.174,0.798,0.417,0.019032767,0.53722541,-0.455656297,-0.352542707,-0.281937,-0.074843958,0.065477929,0.016647233
SAM235,3823.175,-0.937348969,9761.345,14.14435373,0.095779091,12.85247531,2.579,60.018,120.983,11.9,2063.603,12.007,0.53,0.227,2.531,28.633,131.353,13.75,2349.397,12.673,0.487,0.182,0.018787245,0.740084618,-0.082238316,-0.144500424,-0.129705215,-0.053983933,0.084612883,0.22094333
SAM236,3906.045,-0.789666409,8603.695,19.28650467,0.417281309,12.70663506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAM237,4352.005,-0.040802463,4533.25,24.51258336,-0.129716183,27.90770387,2.289,36.709,76.676,3.9,958.594,12.645,0.462,0.351,2.02,21.258,69.094,3.667,877.975,13.013,0.85,0.573,0.12501753,0.546288661,0.104120856,0.061602664,0.087849508,-0.028686978,-0.609671458,-0.490099493
SAM238,5703.9,-1.171923078,18413.3,30.3347725,-0.036853659,31.4735755,2.335,41.258,113.314,8.067,1334.538,12.273,0.543,0.408,2.187,22.325,125.428,5.833,1188.354,13.442,0.766,0.391,0.065481149,0.614137907,-0.101569163,0.324250218,0.116016008,-0.090982406,-0.34407285,0.042559614
SAM239,3923.39,-0.492493194,6420.2,28.37321079,-0.009425544,28.64190804,2.432,34.061,115.314,9.033,1700.502,12.186,0.606,0.304,2.416,36.046,101.802,8.9,1709.227,13.138,0.686,0.293,0.006600684,-0.056642866,0.124629092,0.014833261,-0.00511772,-0.075221043,-0.123997642,0.036855092
SAM240,5605.245,NA,NA,24.71031508,-0.064552894,26.35804827,2.876,39.658,83.65,10.333,1149.999,12.519,0.72,0.4,2.419,22.444,112.768,6.267,951.446,13.546,0.801,0.392,0.173046208,0.569269375,-0.298691183,0.500044886,0.189533419,-0.078843811,-0.106609735,0.020202707
